division,year,month,mean_t2m_C,total_precip_mm
Barisal,2019,1,19.7817103794643,0.064849853515625
Chittagong,2019,1,19.473401988636397,0.9222030639648438
Dhaka,2019,1,18.857071659482756,0.3566741943359375
Khulna,2019,1,18.948005022321468,0.274658203125
Mymensingh,2019,1,18.605371093750023,0.29754638671875
Rajshahi,2019,1,18.3396014178241,0.34427642822265625
Rangpur,2019,1,18.03424479166671,0.40435791015625
Sylhet,2019,1,18.653439670138937,0.41961669921875
Barisal,2019,2,22.619042968750023,12.80975341796875
Chittagong,2019,2,22.11702325994321,30.855178833007812
Dhaka,2019,2,21.71685075431037,48.12049865722656
Khulna,2019,2,22.250285993303578,45.87554931640625
Mymensingh,2019,2,20.78062650240389,32.23228454589844
Rajshahi,2019,2,20.880273437500023,71.82502746582031
Rangpur,2019,2,20.175215657552087,62.88337707519531
Sylhet,2019,2,20.75538194444448,33.374786376953125
Barisal,2019,3,26.560588727678578,14.429092407226562
Chittagong,2019,3,25.631449751420462,64.60762023925781
Dhaka,2019,3,25.61299838362072,51.380157470703125
Khulna,2019,3,26.203864397321468,45.23277282714844
Mymensingh,2019,3,24.300927734375023,17.818450927734375
Rajshahi,2019,3,24.79118923611111,27.879714965820312
Rangpur,2019,3,24.122908528645837,24.2767333984375
Sylhet,2019,3,23.967078993055566,39.60990905761719
Barisal,2019,4,28.8827845982143,50.8880615234375
Chittagong,2019,4,28.627432528409088,136.81793212890625
Dhaka,2019,4,27.75732758620694,165.130615234375
Khulna,2019,4,28.8434779575893,97.90229797363281
Mymensingh,2019,4,26.451318359375023,86.32278442382812
Rajshahi,2019,4,27.313939525463013,109.92240905761719
Rangpur,2019,4,26.510156250000023,114.01176452636719
Sylhet,2019,4,26.524533420138937,154.2224884033203
Barisal,2019,5,30.284291294642856,33.069610595703125
Chittagong,2019,5,29.787455610795462,164.6270751953125
Dhaka,2019,5,29.914688846982756,241.1785125732422
Khulna,2019,5,30.810588727678578,134.979248046875
Mymensingh,2019,5,28.27649489182693,212.41188049316406
Rajshahi,2019,5,29.72174479166671,239.92538452148438
Rangpur,2019,5,27.67438151041671,326.4503479003906
Sylhet,2019,5,28.10108506944448,277.2693634033203
Barisal,2019,6,29.9238002232143,110.00633239746094
Chittagong,2019,6,28.981303267045462,355.4058074951172
Dhaka,2019,6,29.810196659482756,317.4705505371094
Khulna,2019,6,30.275258091517856,270.34759521484375
Mymensingh,2019,6,29.346976412259664,183.17222595214844
Rajshahi,2019,6,30.08014322916671,273.83995056152344
Rangpur,2019,6,29.523299153645837,308.9122772216797
Sylhet,2019,6,29.060828993055566,249.05967712402344
Barisal,2019,7,29.028118024553578,142.3168182373047
Chittagong,2019,7,27.790030184659088,683.5842132568359
